Opponent,Name,Rk,School,X,Type,GS,MP,FG,FGA,FG.,X2P,X2PA,X2P.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conf,SRS,DRE
alabama,Aaron Harrison,17,Kentucky,@,REG,1,23,2,4,0.5,1,1,1,1,3,0.333,0,0,NA,1,2,3,1,0,0,2,1,5,SEC,10.57,-3.428
alabama,Aaron Harrison,21,Kentucky,,REG,1,32,4,11,0.364,2,5,0.4,2,6,0.333,0,1,0,0,2,2,2,2,0,0,1,10,SEC,10.57,0.198
arkansas,Aaron Harrison,29,Kentucky,,REG,1,28,2,11,0.182,1,5,0.2,1,6,0.167,4,6,0.667,2,5,7,0,5,0,2,2,9,SEC,14.12,0.292
arkansas,Aaron Harrison,34,Kentucky,N,CTOURN,1,31,4,10,0.4,1,5,0.2,3,5,0.6,0,0,NA,0,2,2,6,0,2,1,3,11,SEC,14.12,0.854
auburn,Aaron Harrison,27,Kentucky,,REG,1,27,7,12,0.583,5,5,1,2,7,0.286,2,2,1,1,3,4,1,2,0,2,2,18,SEC,3.33,4.728
auburn,Aaron Harrison,33,Kentucky,N,CTOURN,1,18,4,7,0.571,2,4,0.5,2,3,0.667,2,2,1,0,1,1,0,0,0,0,3,12,SEC,3.33,2.752
boston-university,Aaron Harrison,4,Kentucky,,REG,1,25,7,15,0.467,6,9,0.667,1,6,0.167,4,6,0.667,1,1,2,4,2,0,0,1,19,Patriot,-5.59,5.8
buffalo,Aaron Harrison,2,Kentucky,,REG,1,22,2,9,0.222,1,4,0.25,1,5,0.2,3,5,0.6,1,3,4,0,1,0,1,3,8,MAC,7.95,-3.742
cincinnati,Aaron Harrison,36,Kentucky,N,NCAA,1,28,5,11,0.455,2,4,0.5,3,7,0.429,0,0,NA,0,2,2,0,1,0,1,1,13,AAC,10.74,-0.008
columbia,Aaron Harrison,10,Kentucky,,REG,1,33,6,15,0.4,5,10,0.5,1,5,0.2,1,1,1,2,1,3,3,3,0,0,1,14,Ivy,-0.33,2.862
eastern-kentucky,Aaron Harrison,9,Kentucky,,REG,1,25,4,10,0.4,3,7,0.429,1,3,0.333,0,0,NA,0,6,6,3,1,1,2,0,9,OVC,0.03,-1.265
florida,Aaron Harrison,32,Kentucky,N,CTOURN,1,28,4,8,0.5,3,5,0.6,1,3,0.333,4,4,1,1,2,3,0,0,1,1,1,13,SEC,13.33,0.327
florida,Aaron Harrison,23,Kentucky,@,REG,1,26,6,12,0.5,3,6,0.5,3,6,0.5,8,8,1,1,0,1,0,1,0,1,2,23,SEC,13.33,6.364
florida,Aaron Harrison,31,Kentucky,,REG,0,27,4,8,0.5,4,6,0.667,0,2,0,1,2,0.5,0,2,2,1,2,0,1,1,9,SEC,13.33,0.328
georgia,Aaron Harrison,30,Kentucky,@,REG,1,21,5,9,0.556,4,6,0.667,1,3,0.333,5,7,0.714,1,2,3,0,1,0,0,3,16,SEC,12.48,4.894
georgia,Aaron Harrison,22,Kentucky,,REG,1,28,0,4,0,0,0,NA,0,4,0,1,2,0.5,0,2,2,1,0,0,1,1,1,SEC,12.48,-7.608
grand-canyon,Aaron Harrison,1,Kentucky,,REG,1,23,3,7,0.429,3,6,0.5,0,1,0,1,2,0.5,0,0,0,0,2,0,1,1,7,WAC,-6.6,-1.128
hampton,Aaron Harrison,35,Kentucky,N,NCAA,1,23,0,5,0,0,3,0,0,2,0,3,5,0.6,0,7,7,3,0,0,2,1,3,MEAC,-8.21,-6.278
kansas,Aaron Harrison,3,Kentucky,N,REG,1,21,3,8,0.375,1,5,0.2,2,3,0.667,0,0,NA,0,2,2,2,0,0,1,2,8,Big 12,18.51,-2.056
louisiana-state,Aaron Harrison,24,Kentucky,@,REG,1,26,1,8,0.125,1,5,0.2,0,3,0,0,0,NA,1,0,1,1,0,0,1,1,2,SEC,11.43,-9.436
louisville,Aaron Harrison,13,Kentucky,@,REG,1,26,2,10,0.2,0,3,0,2,7,0.286,1,2,0.5,0,3,3,1,2,0,1,3,7,ACC,18.14,-3.136
mississippi,Aaron Harrison,14,Kentucky,,REG,1,40,6,14,0.429,1,5,0.2,5,9,0.556,9,10,0.9,0,4,4,2,0,0,0,0,26,SEC,11.43,6.26
mississippi-state,Aaron Harrison,28,Kentucky,@,REG,1,28,6,10,0.6,4,4,1,2,6,0.333,2,2,1,0,2,2,1,0,0,2,1,16,SEC,2.58,0.592
missouri,Aaron Harrison,20,Kentucky,@,REG,1,25,3,7,0.429,2,4,0.5,1,3,0.333,4,4,1,0,3,3,2,3,0,0,2,11,SEC,1.19,6.6
missouri,Aaron Harrison,16,Kentucky,,REG,1,20,5,8,0.625,0,1,0,5,7,0.714,1,2,0.5,1,1,2,1,0,0,0,0,16,SEC,1.19,6.28
montana-state,Aaron Harrison,5,Kentucky,,REG,1,18,5,14,0.357,4,8,0.5,1,6,0.167,3,3,1,0,2,2,2,2,0,0,0,14,Big Sky,-12.93,2.702
north-carolina,Aaron Harrison,11,Kentucky,,REG,1,26,5,9,0.556,2,2,1,3,7,0.429,1,2,0.5,0,1,1,1,1,0,2,2,14,ACC,20.62,1.264
notre-dame,Aaron Harrison,38,Kentucky,N,NCAA,1,27,2,7,0.286,1,4,0.25,1,3,0.333,1,2,0.5,1,3,4,0,0,0,0,0,6,ACC,19.23,-3.872
providence,Aaron Harrison,7,Kentucky,,REG,1,22,2,7,0.286,1,3,0.333,1,4,0.25,1,2,0.5,0,1,1,4,0,0,0,3,6,Big East,13.75,-1.792
south-carolina,Aaron Harrison,25,Kentucky,,REG,1,23,4,8,0.5,3,4,0.75,1,4,0.25,2,2,1,0,0,0,2,0,0,0,0,11,SEC,10.61,0.972
south-carolina,Aaron Harrison,19,Kentucky,@,REG,1,34,4,11,0.364,3,7,0.429,1,4,0.25,4,6,0.667,0,4,4,0,3,1,0,3,13,SEC,10.61,2.811
tennessee,Aaron Harrison,26,Kentucky,@,REG,1,22,1,7,0.143,1,2,0.5,0,5,0,0,0,NA,0,0,0,0,1,1,1,0,2,SEC,7.28,-6.457
texas,Aaron Harrison,8,Kentucky,,REG,1,28,1,9,0.111,1,5,0.2,0,4,0,0,0,NA,0,1,1,2,0,0,2,2,2,Big 12,16.19,-11.508
texas-am,Aaron Harrison,15,Kentucky,@,REG,1,37,4,20,0.2,2,7,0.286,2,13,0.154,2,2,1,0,7,7,1,3,0,2,5,12,SEC,10.77,-7.532
texas-arlington,Aaron Harrison,6,Kentucky,,REG,1,18,4,11,0.364,2,4,0.5,2,7,0.286,1,1,1,0,0,0,2,0,0,2,2,11,Sun Belt,-3.58,-3.498
ucla,Aaron Harrison,12,Kentucky,N,REG,1,23,6,11,0.545,3,3,1,3,8,0.375,0,0,NA,0,2,2,3,3,0,0,1,15,Pac-12,12.08,8.972
vanderbilt,Aaron Harrison,18,Kentucky,,REG,1,23,4,7,0.571,2,4,0.5,2,3,0.667,4,4,1,1,1,2,1,2,0,1,0,14,SEC,11.94,6.072
west-virginia,Aaron Harrison,37,Kentucky,N,NCAA,1,22,4,6,0.667,2,3,0.667,2,3,0.667,2,2,1,0,2,2,2,0,0,2,1,12,Big 12,15.15,1.508
wisconsin,Aaron Harrison,39,Kentucky,N,NCAA,1,27,5,10,0.5,5,9,0.556,0,1,0,2,2,1,0,3,3,0,0,0,0,5,12,Big Ten,24.47,-0.772
alabama,Andrew Harrison,17,Kentucky,@,REG,1,25,1,4,0.25,0,1,0,1,3,0.333,2,2,1,0,2,2,3,3,0,2,0,5,SEC,10.57,1.5
alabama,Andrew Harrison,21,Kentucky,,REG,1,28,1,3,0.333,0,1,0,1,2,0.5,2,2,1,0,2,2,2,1,0,2,2,5,SEC,10.57,-1.908
arkansas,Andrew Harrison,34,Kentucky,N,CTOURN,1,18,5,9,0.556,2,6,0.333,3,3,1,2,4,0.5,0,0,0,2,0,0,0,3,15,SEC,14.12,4.052
arkansas,Andrew Harrison,29,Kentucky,,REG,1,27,4,10,0.4,2,6,0.333,2,4,0.5,8,8,1,0,3,3,3,1,0,2,1,18,SEC,14.12,3.528
auburn,Andrew Harrison,33,Kentucky,N,CTOURN,1,25,4,11,0.364,2,6,0.333,2,5,0.4,5,6,0.833,0,1,1,4,0,0,2,3,15,SEC,3.33,-1
auburn,Andrew Harrison,27,Kentucky,,REG,1,27,3,8,0.375,2,6,0.333,1,2,0.5,5,8,0.625,1,1,2,9,0,0,1,1,12,SEC,3.33,1.828
boston-university,Andrew Harrison,4,Kentucky,,REG,1,25,2,4,0.5,1,2,0.5,1,2,0.5,3,4,0.75,1,1,2,5,1,0,1,3,8,Patriot,-5.59,2.8
buffalo,Andrew Harrison,2,Kentucky,,REG,1,18,1,6,0.167,1,3,0.333,0,3,0,1,2,0.5,0,0,0,1,1,1,1,2,3,MAC,7.95,-4.213
cincinnati,Andrew Harrison,36,Kentucky,N,NCAA,1,26,2,7,0.286,2,6,0.333,0,1,0,1,3,0.333,0,2,2,2,0,1,0,1,5,AAC,10.74,-3.951
columbia,Andrew Harrison,10,Kentucky,,REG,1,32,1,12,0.083,1,7,0.143,0,5,0,2,4,0.5,1,2,3,3,1,0,0,3,4,Ivy,-0.33,-8.752
eastern-kentucky,Andrew Harrison,9,Kentucky,,REG,1,24,2,2,1,2,2,1,0,0,NA,2,2,1,0,2,2,6,1,1,5,2,6,OVC,0.03,-1.129
florida,Andrew Harrison,31,Kentucky,,REG,1,27,3,7,0.429,3,6,0.5,0,1,0,2,2,1,0,2,2,0,1,0,2,1,8,SEC,13.33,-3.372
florida,Andrew Harrison,23,Kentucky,@,REG,1,24,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,1,3,4,2,1,0,3,4,1,SEC,13.33,-3.664
florida,Andrew Harrison,32,Kentucky,N,CTOURN,1,32,4,9,0.444,3,6,0.5,1,3,0.333,0,0,NA,0,3,3,2,2,0,0,1,9,SEC,13.33,1.548
georgia,Andrew Harrison,30,Kentucky,@,REG,1,31,4,10,0.4,2,5,0.4,2,5,0.4,2,3,0.667,0,4,4,1,1,0,1,1,12,SEC,12.48,-0.666
georgia,Andrew Harrison,22,Kentucky,,REG,1,31,8,16,0.5,5,10,0.5,3,6,0.5,4,4,1,0,0,0,7,1,0,1,1,23,SEC,12.48,6.784
grand-canyon,Andrew Harrison,1,Kentucky,,REG,1,23,5,8,0.625,4,6,0.667,1,2,0.5,5,6,0.833,1,2,3,3,1,0,2,1,16,WAC,-6.6,4.572
hampton,Andrew Harrison,35,Kentucky,N,NCAA,1,27,4,7,0.571,2,4,0.5,2,3,0.667,4,4,1,0,4,4,3,1,0,0,2,14,MEAC,-8.21,6.628
kansas,Andrew Harrison,3,Kentucky,N,REG,1,19,3,5,0.6,1,3,0.333,2,2,1,2,3,0.667,0,2,2,4,0,0,2,3,10,Big 12,18.51,1.466
louisiana-state,Andrew Harrison,24,Kentucky,@,REG,1,28,4,8,0.5,3,5,0.6,1,3,0.333,4,4,1,1,2,3,4,0,0,0,1,13,SEC,11.43,3.192
louisville,Andrew Harrison,13,Kentucky,@,REG,1,20,1,6,0.167,0,5,0,1,1,1,0,0,NA,1,2,3,4,0,0,6,3,3,ACC,18.14,-10.92
mississippi,Andrew Harrison,14,Kentucky,,REG,1,32,2,7,0.286,0,4,0,2,3,0.667,6,8,0.75,0,1,1,5,2,0,1,4,12,SEC,11.43,3.248
mississippi-state,Andrew Harrison,28,Kentucky,@,REG,1,29,2,8,0.25,1,6,0.167,1,2,0.5,0,1,0,0,2,2,3,0,1,0,0,5,SEC,2.58,-4.059
missouri,Andrew Harrison,20,Kentucky,@,REG,1,25,3,4,0.75,3,3,1,0,1,0,9,11,0.818,0,3,3,3,3,0,2,2,15,SEC,1.19,8.55
missouri,Andrew Harrison,16,Kentucky,,REG,1,20,1,5,0.2,1,3,0.333,0,2,0,6,7,0.857,1,2,3,3,0,0,1,2,8,SEC,1.19,-0.97
montana-state,Andrew Harrison,5,Kentucky,,REG,1,19,1,3,0.333,0,1,0,1,2,0.5,1,2,0.5,1,3,4,3,2,0,2,0,4,Big Sky,-12.93,0.916
north-carolina,Andrew Harrison,11,Kentucky,,REG,1,25,1,4,0.25,1,3,0.333,0,1,0,9,10,0.9,1,0,1,5,2,0,3,3,11,ACC,20.62,2.4
notre-dame,Andrew Harrison,38,Kentucky,N,NCAA,1,29,0,2,0,0,1,0,0,1,0,7,8,0.875,1,2,3,2,1,0,2,2,7,ACC,19.23,-1.044
providence,Andrew Harrison,7,Kentucky,,REG,1,20,3,6,0.5,3,5,0.6,0,1,0,0,0,NA,0,1,1,4,4,1,1,2,6,Big East,13.75,6.015
south-carolina,Andrew Harrison,19,Kentucky,@,REG,1,27,1,5,0.2,1,5,0.2,0,0,NA,2,3,0.667,0,1,1,2,0,0,2,1,4,SEC,10.61,-6.822
south-carolina,Andrew Harrison,25,Kentucky,,REG,1,25,2,8,0.25,1,5,0.2,1,3,0.333,4,4,1,0,4,4,6,0,1,3,2,9,SEC,10.61,-2.865
tennessee,Andrew Harrison,26,Kentucky,@,REG,1,31,4,10,0.4,2,5,0.4,2,5,0.4,4,4,1,1,2,3,2,2,0,1,4,14,SEC,7.28,2.984
texas,Andrew Harrison,8,Kentucky,,REG,1,24,2,8,0.25,1,4,0.25,1,4,0.25,0,0,NA,0,1,1,4,0,0,1,2,5,Big 12,16.19,-4.664
texas-am,Andrew Harrison,15,Kentucky,@,REG,1,33,2,10,0.2,1,6,0.167,1,4,0.25,4,8,0.5,0,1,1,5,1,0,1,1,9,SEC,10.77,-4.288
texas-arlington,Andrew Harrison,6,Kentucky,,REG,1,19,4,7,0.571,4,6,0.667,0,1,0,3,3,1,1,2,3,4,1,0,1,1,11,Sun Belt,-3.58,3.966
ucla,Andrew Harrison,12,Kentucky,N,REG,1,23,3,8,0.375,1,4,0.25,2,4,0.5,0,0,NA,0,3,3,8,0,0,4,0,8,Pac-12,12.08,-3.328
vanderbilt,Andrew Harrison,18,Kentucky,,REG,1,25,1,3,0.333,1,3,0.333,0,0,NA,3,5,0.6,0,1,1,4,0,0,3,2,5,SEC,11.94,-4.85
west-virginia,Andrew Harrison,37,Kentucky,N,NCAA,1,20,2,6,0.333,2,3,0.667,0,3,0,9,10,0.9,0,3,3,2,4,1,2,1,13,Big 12,15.15,7.515
wisconsin,Andrew Harrison,39,Kentucky,N,NCAA,1,31,5,11,0.455,4,10,0.4,1,1,1,2,2,1,0,2,2,4,1,1,1,2,13,Big Ten,24.47,1.419
alabama,Bobby Portis,18,Arkansas,,REG,1,37,4,12,0.333,4,12,0.333,0,0,NA,2,4,0.5,5,8,13,3,0,2,2,2,10,SEC,10.57,-4.862
alabama-state,Bobby Portis,1,Arkansas,,REG,1,25,9,11,0.818,6,8,0.75,3,3,1,3,6,0.5,1,3,4,0,1,0,0,3,24,SWAC,-8.96,11.1
auburn,Bobby Portis,24,Arkansas,@,REG,1,27,9,15,0.6,9,14,0.643,0,1,0,4,4,1,1,7,8,2,1,2,3,2,22,SEC,3.33,4.598
clemson,Bobby Portis,8,Arkansas,@,REG,1,38,9,16,0.563,9,14,0.643,0,2,0,0,0,NA,3,4,7,2,3,0,2,2,18,ACC,7.73,3.132
dayton,Bobby Portis,9,Arkansas,,REG,1,28,9,14,0.643,9,13,0.692,0,1,0,0,1,0,4,5,9,1,2,1,2,0,18,A-10,11,4.677
delaware-state,Bobby Portis,3,Arkansas,,REG,1,25,5,10,0.5,4,9,0.444,1,1,1,3,4,0.75,3,3,6,0,0,3,3,2,14,MEAC,-10.75,-1.195
florida,Bobby Portis,21,Arkansas,@,REG,1,32,9,15,0.6,9,14,0.643,0,1,0,3,4,0.75,3,7,10,1,0,2,0,2,21,SEC,13.33,5.318
georgia,Bobby Portis,33,Arkansas,N,CTOURN,1,30,1,14,0.071,1,14,0.071,0,0,NA,2,3,0.667,3,9,12,1,1,0,3,3,4,SEC,12.48,-13.33
georgia,Bobby Portis,14,Arkansas,@,REG,1,31,8,14,0.571,7,13,0.538,1,1,1,4,4,1,1,4,5,1,1,1,4,2,21,SEC,12.48,0.919
iona,Bobby Portis,6,Arkansas,,REG,1,31,5,13,0.385,5,13,0.385,0,0,NA,1,3,0.333,5,4,9,1,0,3,1,2,11,MAAC,3.73,-3.461
iowa-state,Bobby Portis,7,Arkansas,@,REG,1,31,8,10,0.8,6,8,0.75,2,2,1,1,2,0.5,2,6,8,0,1,0,0,1,19,Big 12,17.97,8.384
kentucky,Bobby Portis,29,Arkansas,@,REG,1,32,6,11,0.545,6,10,0.6,0,1,0,3,4,0.75,2,6,8,1,0,0,2,1,15,SEC,29.06,-1.352
kentucky,Bobby Portis,34,Arkansas,N,CTOURN,1,30,3,7,0.429,2,6,0.333,1,1,1,6,10,0.6,1,1,2,1,1,1,3,3,13,SEC,29.06,-1.945
louisiana-state,Bobby Portis,31,Arkansas,,REG,1,34,10,17,0.588,10,15,0.667,0,2,0,1,1,1,10,5,15,4,0,2,3,3,21,SEC,11.43,2.596
milwaukee,Bobby Portis,11,Arkansas,,REG,1,26,7,14,0.5,7,13,0.538,0,1,0,4,4,1,6,4,10,2,0,0,0,2,18,Horizon,-4.84,3.464
mississippi,Bobby Portis,17,Arkansas,,REG,1,35,6,11,0.545,6,11,0.545,0,0,NA,11,14,0.786,6,4,10,2,0,3,2,2,23,SEC,11.43,5.245
mississippi,Bobby Portis,25,Arkansas,@,REG,1,32,6,13,0.462,6,12,0.5,0,1,0,0,0,NA,2,3,5,1,0,4,0,1,12,SEC,11.43,-0.412
mississippi-state,Bobby Portis,23,Arkansas,,REG,1,27,8,14,0.571,8,14,0.571,0,0,NA,3,3,1,3,8,11,1,2,0,1,2,19,SEC,2.58,6.378
mississippi-state,Bobby Portis,27,Arkansas,@,REG,1,28,4,10,0.4,4,10,0.4,0,0,NA,5,6,0.833,4,5,9,1,2,4,2,5,13,SEC,2.58,3.132
missouri,Bobby Portis,26,Arkansas,,REG,1,27,8,12,0.667,8,12,0.667,0,0,NA,0,0,NA,4,5,9,0,1,2,2,0,16,SEC,1.19,3.298
missouri,Bobby Portis,19,Arkansas,@,REG,1,35,6,16,0.375,6,16,0.375,0,0,NA,0,0,NA,6,4,10,1,1,2,0,2,12,SEC,1.19,-1.89
north-carolina,Bobby Portis,36,Arkansas,N,NCAA,1,34,5,15,0.333,4,13,0.308,1,2,0.5,7,9,0.778,7,7,14,3,5,0,4,2,18,ACC,20.62,3.926
north-texas,Bobby Portis,5,Arkansas,,REG,1,15,3,8,0.375,3,8,0.375,0,0,NA,0,0,NA,4,2,6,0,0,1,1,5,6,CUSA,-4.92,-2.905
northwestern-state,Bobby Portis,12,Arkansas,,REG,1,30,11,16,0.688,11,16,0.688,0,0,NA,0,0,NA,6,6,12,2,0,3,0,2,22,Southland,-5.46,8.525
south-carolina,Bobby Portis,22,Arkansas,,REG,1,26,7,13,0.538,7,13,0.538,0,0,NA,4,4,1,3,10,13,2,2,3,0,1,18,SEC,10.61,9.969
south-carolina,Bobby Portis,30,Arkansas,@,REG,1,30,9,17,0.529,8,15,0.533,1,2,0.5,5,9,0.556,3,5,8,0,1,1,1,2,24,SEC,10.61,3.905
southeast-missouri-state,Bobby Portis,10,Arkansas,,REG,1,28,9,14,0.643,8,12,0.667,1,2,0.5,5,8,0.625,2,7,9,0,2,0,1,2,24,OVC,-5.18,8.592
southern-methodist,Bobby Portis,4,Arkansas,@,REG,1,30,8,13,0.615,7,12,0.583,1,1,1,5,7,0.714,1,4,5,0,0,0,2,5,22,AAC,12.95,1.97
tennessee,Bobby Portis,32,Arkansas,N,CTOURN,1,34,8,13,0.615,7,12,0.583,1,1,1,9,10,0.9,4,7,11,2,2,1,1,3,26,SEC,7.28,11.911
tennessee,Bobby Portis,20,Arkansas,,REG,1,32,6,8,0.75,6,8,0.75,0,0,NA,5,6,0.833,2,6,8,1,0,1,3,4,17,SEC,7.28,1.783
tennessee,Bobby Portis,16,Arkansas,@,REG,1,34,8,14,0.571,8,13,0.615,0,1,0,1,2,0.5,5,6,11,0,1,1,4,4,17,SEC,7.28,-2.089
texas-am,Bobby Portis,28,Arkansas,,REG,1,30,9,13,0.692,8,11,0.727,1,2,0.5,3,3,1,2,2,4,1,1,3,1,3,22,SEC,10.77,8.375
utah-valley,Bobby Portis,13,Arkansas,,REG,1,23,4,11,0.364,4,11,0.364,0,0,NA,4,4,1,2,7,9,1,1,0,1,1,12,WAC,-12.73,0.172
vanderbilt,Bobby Portis,15,Arkansas,,REG,1,33,13,18,0.722,13,18,0.722,0,0,NA,6,8,0.75,9,2,11,0,4,1,1,0,32,SEC,11.94,16.647
wake-forest,Bobby Portis,2,Arkansas,,REG,1,22,5,12,0.417,5,11,0.455,0,1,0,0,0,NA,2,5,7,2,2,2,0,0,10,ACC,4.6,3.078
wofford,Bobby Portis,35,Arkansas,N,NCAA,1,34,5,12,0.417,5,12,0.417,0,0,NA,5,9,0.556,6,7,13,2,1,1,1,2,15,Southern,2.56,0.861
arkansas-pine-bluff,Branden Dawson,8,Michigan State,,REG,1,24,5,10,0.5,5,10,0.5,0,0,NA,2,3,0.667,3,4,7,4,1,1,2,1,12,SWAC,-15.62,1.521
duke,Branden Dawson,35,Michigan State,N,NCAA,1,30,5,12,0.417,5,12,0.417,0,0,NA,2,5,0.4,3,4,7,0,2,2,5,4,12,ACC,24.51,-5.76
duke,Branden Dawson,2,Michigan State,N,REG,1,29,8,10,0.8,8,10,0.8,0,0,NA,2,5,0.4,4,5,9,1,1,0,3,3,18,ACC,24.51,3.106
eastern-michigan,Branden Dawson,10,Michigan State,,REG,1,18,1,5,0.2,1,5,0.2,0,0,NA,2,2,1,3,4,7,1,1,0,3,1,4,MAC,1.98,-4.248
georgia,Branden Dawson,31,Michigan State,N,NCAA,1,23,6,9,0.667,6,9,0.667,0,0,NA,2,4,0.5,0,6,6,1,1,2,0,3,14,SEC,12.48,5.842
illinois,Branden Dawson,24,Michigan State,@,REG,1,36,6,11,0.545,6,11,0.545,0,0,NA,1,1,1,3,4,7,0,0,3,2,4,13,Big Ten,12.46,-1.941
illinois,Branden Dawson,20,Michigan State,,REG,1,37,6,7,0.857,6,7,0.857,0,0,NA,0,2,0,2,4,6,0,2,3,3,1,12,Big Ten,12.46,1.973
indiana,Branden Dawson,12,Michigan State,,REG,1,35,7,10,0.7,7,10,0.7,0,0,NA,0,0,NA,5,8,13,2,2,2,3,1,14,Big Ten,12.98,4.11
iowa,Branden Dawson,13,Michigan State,@,REG,1,36,7,13,0.538,7,13,0.538,0,0,NA,0,0,NA,2,13,15,2,0,0,4,2,14,Big Ten,15.86,-4.196
kansas,Branden Dawson,6,Michigan State,N,REG,1,24,4,15,0.267,4,15,0.267,0,0,NA,0,1,0,2,7,9,0,2,1,0,4,8,Big 12,18.51,-3.379
louisville,Branden Dawson,34,Michigan State,N,NCAA,1,34,4,11,0.364,4,11,0.364,0,0,NA,1,2,0.5,3,8,11,0,1,4,3,2,9,ACC,18.14,-4.384
loyola-il,Branden Dawson,3,Michigan State,,REG,1,27,7,11,0.636,7,11,0.636,0,0,NA,1,3,0.333,2,5,7,3,1,1,1,3,15,MVC,2.45,4.113
marquette,Branden Dawson,5,Michigan State,N,REG,0,28,2,3,0.667,2,3,0.667,0,0,NA,1,2,0.5,0,8,8,2,1,1,2,2,5,Big East,7.13,-0.173
maryland,Branden Dawson,15,Michigan State,@,REG,1,24,6,12,0.5,6,12,0.5,0,0,NA,2,4,0.5,3,7,10,0,1,4,2,5,14,Big Ten,13.37,1.576
maryland,Branden Dawson,11,Michigan State,,REG,1,43,4,11,0.364,4,11,0.364,0,0,NA,1,5,0.2,4,7,11,2,1,2,2,0,9,Big Ten,13.37,-5.328
maryland,Branden Dawson,29,Michigan State,N,CTOURN,1,29,6,10,0.6,6,10,0.6,0,0,NA,5,8,0.625,3,5,8,0,0,1,1,1,17,Big Ten,13.37,1.991
michigan,Branden Dawson,23,Michigan State,@,REG,1,33,10,12,0.833,10,12,0.833,0,0,NA,3,4,0.75,4,9,13,4,1,1,1,1,23,Big Ten,9.61,11.747
michigan,Branden Dawson,19,Michigan State,,REG,1,41,9,14,0.643,9,14,0.643,0,0,NA,1,4,0.25,3,7,10,1,3,2,2,1,19,Big Ten,9.61,5.294
minnesota,Branden Dawson,25,Michigan State,,REG,1,34,4,8,0.5,4,8,0.5,0,0,NA,2,2,1,2,6,8,1,1,3,2,2,10,Big Ten,12.37,0.081
navy,Branden Dawson,1,Michigan State,@,REG,1,27,6,10,0.6,6,10,0.6,0,0,NA,0,0,NA,2,6,8,2,3,1,1,0,12,Patriot,-7.83,6.163
nebraska,Branden Dawson,17,Michigan State,@,REG,1,35,4,7,0.571,4,7,0.571,0,0,NA,0,0,NA,8,10,18,2,0,0,3,3,8,Big Ten,5.94,-2.66
northwestern,Branden Dawson,21,Michigan State,@,REG,1,29,3,5,0.6,3,5,0.6,0,0,NA,1,3,0.333,3,7,10,1,0,4,2,1,7,Big Ten,6.15,-0.654
northwestern,Branden Dawson,14,Michigan State,,REG,1,36,6,11,0.545,6,11,0.545,0,0,NA,1,4,0.25,4,5,9,1,2,0,0,3,13,Big Ten,6.15,2.504
notre-dame,Branden Dawson,7,Michigan State,@,REG,1,39,8,19,0.421,8,19,0.421,0,0,NA,0,0,NA,9,9,18,2,0,1,4,2,16,ACC,19.23,-6.869
oakland,Branden Dawson,9,Michigan State,,REG,1,21,7,14,0.5,7,14,0.5,0,0,NA,1,4,0.25,2,4,6,2,3,0,1,3,15,Horizon,-1.25,4.044
ohio-state,Branden Dawson,22,Michigan State,,REG,1,38,6,13,0.462,6,13,0.462,0,0,NA,3,5,0.6,2,9,11,4,0,5,1,1,15,Big Ten,19.73,1.857
ohio-state,Branden Dawson,28,Michigan State,N,CTOURN,1,30,7,14,0.5,7,14,0.5,0,0,NA,0,0,NA,5,3,8,7,1,3,0,4,14,Big Ten,19.73,5.725
oklahoma,Branden Dawson,33,Michigan State,N,NCAA,1,33,3,7,0.429,3,7,0.429,0,0,NA,0,2,0,4,7,11,2,0,1,0,2,6,Big 12,18.68,-1.753
penn-state,Branden Dawson,16,Michigan State,,REG,1,35,4,9,0.444,4,9,0.444,0,0,NA,4,6,0.667,5,5,10,2,2,3,3,1,12,Big Ten,7.81,0.845
purdue,Branden Dawson,27,Michigan State,,REG,1,9,0,1,0,0,1,0,0,0,NA,0,0,NA,1,1,2,2,2,0,1,1,0,Big Ten,12.96,1.276
rider,Branden Dawson,4,Michigan State,N,REG,0,16,1,4,0.25,1,4,0.25,0,0,NA,1,3,0.333,1,5,6,3,1,0,0,2,3,MAAC,-1.56,0.574
rutgers,Branden Dawson,18,Michigan State,@,REG,1,29,6,7,0.857,6,7,0.857,0,0,NA,5,7,0.714,1,10,11,4,4,2,2,3,17,Big Ten,0.27,13.576
virginia,Branden Dawson,32,Michigan State,N,NCAA,1,34,5,9,0.556,5,9,0.556,0,0,NA,5,9,0.556,2,7,9,0,1,4,2,0,15,ACC,21.73,1.966
wisconsin,Branden Dawson,30,Michigan State,N,CTOURN,1,38,7,12,0.583,7,12,0.583,0,0,NA,2,2,1,0,7,7,1,1,0,3,4,16,Big Ten,24.47,-1.268
wisconsin,Branden Dawson,26,Michigan State,@,REG,0,21,2,4,0.5,2,4,0.5,0,0,NA,0,2,0,2,0,2,0,0,1,3,1,4,Big Ten,24.47,-6.421
alabama-am,Cameron Payne,14,Murray State,,REG,1,22,3,9,0.333,3,4,0.75,0,5,0,1,2,0.5,0,3,3,8,0,1,2,3,7,SWAC,-17.13,-2.457
alcorn-state,Cameron Payne,11,Murray State,,REG,1,30,5,8,0.625,1,2,0.5,4,6,0.667,0,0,NA,0,1,1,9,1,0,1,3,14,SWAC,-20.73,7.72
