Opponent,Name,Rk,School,X,Type,GS,MP,FG,FGA,FG.,X2P,X2PA,X2P.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conf,SRS,DRE
indiana,Sam Dekker,22,Wisconsin,,REG,1,34,5,7,0.714,4,5,0.8,1,2,0.5,3,3,1,2,4,6,1,0,1,0,1,14,Big Ten,12.98,4.261
iowa,Sam Dekker,21,Wisconsin,@,REG,1,30,3,9,0.333,2,4,0.5,1,5,0.2,4,4,1,5,3,8,1,1,1,1,2,11,Big Ten,15.86,0.355
iowa,Sam Dekker,19,Wisconsin,,REG,1,28,6,9,0.667,4,5,0.8,2,4,0.5,3,4,0.75,3,5,8,2,2,1,0,1,17,Big Ten,15.86,10.227
kentucky,Sam Dekker,39,Wisconsin,N,NCAA,1,34,6,9,0.667,4,6,0.667,2,3,0.667,2,4,0.5,0,3,3,1,0,0,0,1,16,SEC,29.06,2.976
marquette,Sam Dekker,9,Wisconsin,@,REG,1,22,1,5,0.2,1,3,0.333,0,2,0,0,0,NA,5,0,5,3,0,0,2,3,2,Big East,7.13,-5.792
maryland,Sam Dekker,28,Wisconsin,@,REG,1,36,6,12,0.5,4,6,0.667,2,6,0.333,0,0,NA,2,7,9,2,2,2,2,0,14,Big Ten,13.37,2.774
michigan,Sam Dekker,32,Wisconsin,N,CTOURN,1,35,7,12,0.583,6,8,0.75,1,4,0.25,2,2,1,4,2,6,6,3,1,1,0,17,Big Ten,9.61,9.175
michigan,Sam Dekker,20,Wisconsin,@,REG,1,33,6,11,0.545,5,5,1,1,6,0.167,2,3,0.667,1,3,4,0,0,0,1,1,15,Big Ten,9.61,-1.038
michigan-state,Sam Dekker,34,Wisconsin,N,CTOURN,1,39,2,7,0.286,2,4,0.5,0,3,0,0,1,0,0,3,3,0,2,0,1,0,4,Big Ten,17.8,-5.354
michigan-state,Sam Dekker,29,Wisconsin,,REG,1,36,4,9,0.444,4,6,0.667,0,3,0,0,0,NA,3,6,9,1,0,0,2,0,8,Big Ten,17.8,-5.496
milwaukee,Sam Dekker,10,Wisconsin,@,REG,1,20,7,10,0.7,5,8,0.625,2,2,1,1,1,1,0,5,5,0,1,0,0,2,17,Horizon,-4.84,7.63
minnesota,Sam Dekker,27,Wisconsin,,REG,1,36,1,8,0.125,1,6,0.167,0,2,0,3,4,0.75,1,2,3,1,0,3,0,0,5,Big Ten,12.37,-5.791
minnesota,Sam Dekker,30,Wisconsin,@,REG,1,32,7,14,0.5,6,11,0.545,1,3,0.333,5,6,0.833,3,3,6,0,0,0,0,3,20,Big Ten,12.37,2.148
nebraska,Sam Dekker,18,Wisconsin,,REG,1,32,4,7,0.571,3,4,0.75,1,3,0.333,2,4,0.5,0,6,6,1,0,0,1,0,11,Big Ten,5.94,-0.752
nebraska,Sam Dekker,24,Wisconsin,@,REG,1,32,8,13,0.615,6,9,0.667,2,4,0.5,3,4,0.75,2,6,8,0,1,0,1,2,21,Big Ten,5.94,5.448
nicholls-state,Sam Dekker,11,Wisconsin,,REG,1,26,6,10,0.6,5,8,0.625,1,2,0.5,4,6,0.667,2,3,5,3,0,2,1,0,17,Southland,-15.83,4.534
north-carolina,Sam Dekker,37,Wisconsin,N,NCAA,1,32,10,15,0.667,9,10,0.9,1,5,0.2,2,2,1,3,7,10,1,0,0,0,0,23,ACC,20.62,6.948
northern-kentucky,Sam Dekker,1,Wisconsin,,REG,1,23,5,9,0.556,5,7,0.714,0,2,0,5,6,0.833,2,0,2,2,0,0,2,1,15,A-Sun,-6.82,0.272
northwestern,Sam Dekker,15,Wisconsin,@,REG,1,28,6,8,0.75,2,2,1,4,6,0.667,0,2,0,2,5,7,2,0,1,1,1,16,Big Ten,6.15,5.827
northwestern,Sam Dekker,23,Wisconsin,,REG,1,31,7,16,0.438,5,10,0.5,2,6,0.333,0,1,0,4,3,7,1,0,0,0,0,16,Big Ten,6.15,-1.066
ohio-state,Sam Dekker,31,Wisconsin,@,REG,1,32,5,11,0.455,5,9,0.556,0,2,0,0,0,NA,2,6,8,1,2,0,0,1,10,Big Ten,19.73,1.248
oklahoma,Sam Dekker,7,Wisconsin,N,REG,1,29,5,10,0.5,4,7,0.571,1,3,0.333,0,0,NA,1,2,3,1,0,0,2,1,11,Big 12,18.68,-3.644
oregon,Sam Dekker,36,Wisconsin,N,NCAA,1,33,6,12,0.5,3,4,0.75,3,8,0.375,2,4,0.5,2,3,5,0,0,1,1,2,17,Pac-12,11.42,0.447
penn-state,Sam Dekker,26,Wisconsin,@,REG,1,36,9,13,0.692,6,7,0.857,3,6,0.5,1,3,0.333,2,3,5,1,0,0,2,0,22,Big Ten,7.81,3.054
penn-state,Sam Dekker,14,Wisconsin,,REG,1,29,7,10,0.7,6,7,0.857,1,3,0.333,2,3,0.667,2,3,5,1,0,0,0,2,17,Big Ten,7.81,4.506
purdue,Sam Dekker,33,Wisconsin,N,CTOURN,1,37,5,9,0.556,5,7,0.714,0,2,0,5,5,1,1,7,8,2,0,0,0,0,15,Big Ten,12.96,2.718
purdue,Sam Dekker,16,Wisconsin,,REG,1,34,2,7,0.286,2,5,0.4,0,2,0,2,2,1,2,3,5,1,0,1,1,1,6,Big Ten,12.96,-4.989
rutgers,Sam Dekker,17,Wisconsin,@,REG,1,37,6,15,0.4,6,11,0.545,0,4,0,3,5,0.6,2,4,6,0,0,2,1,3,15,Big Ten,0.27,-4.412
bradley,Seth Tuttle,31,Northern Iowa,N,CTOURN,1,31,3,9,0.333,3,8,0.375,0,1,0,4,6,0.667,0,11,11,5,1,0,3,0,10,MVC,-4.29,-2.216
bradley,Seth Tuttle,28,Northern Iowa,,REG,1,31,4,4,1,4,4,1,0,0,NA,1,1,1,2,6,8,2,2,1,3,0,9,MVC,-4.29,3.169
bradley,Seth Tuttle,17,Northern Iowa,@,REG,1,35,3,5,0.6,3,5,0.6,0,0,NA,9,9,1,2,5,7,5,0,0,3,2,15,MVC,-4.29,2.29
denver,Seth Tuttle,9,Northern Iowa,@,REG,1,32,4,7,0.571,4,7,0.571,0,0,NA,4,5,0.8,1,2,3,4,0,1,2,1,12,Summit,-3.96,-0.067
drake,Seth Tuttle,24,Northern Iowa,,REG,1,30,6,8,0.75,5,7,0.714,1,1,1,3,3,1,1,2,3,4,2,1,3,2,16,MVC,-6.04,6.005
drake,Seth Tuttle,16,Northern Iowa,@,REG,1,31,5,8,0.625,5,6,0.833,0,2,0,2,4,0.5,1,3,4,4,0,0,2,1,12,MVC,-6.04,-0.816
evansville,Seth Tuttle,13,Northern Iowa,@,REG,1,32,7,13,0.538,5,8,0.625,2,5,0.4,2,3,0.667,2,3,5,2,0,1,3,5,18,MVC,3.17,-0.767
evansville,Seth Tuttle,29,Northern Iowa,,REG,1,34,4,9,0.444,4,7,0.571,0,2,0,2,2,1,0,8,8,3,0,1,2,1,10,MVC,3.17,-2.589
george-mason,Seth Tuttle,8,Northern Iowa,,REG,1,37,5,8,0.625,5,8,0.625,0,0,NA,6,9,0.667,1,7,8,4,0,1,4,4,16,A-10,-1.41,-0.847
illinois-state,Seth Tuttle,20,Northern Iowa,@,REG,1,36,7,12,0.583,6,9,0.667,1,3,0.333,6,8,0.75,1,9,10,3,0,1,3,0,21,MVC,7.97,2.339
illinois-state,Seth Tuttle,33,Northern Iowa,N,CTOURN,1,32,5,11,0.455,5,9,0.556,0,2,0,5,6,0.833,2,7,9,3,1,0,0,0,15,MVC,7.97,3.648
illinois-state,Seth Tuttle,25,Northern Iowa,,REG,1,24,9,12,0.75,7,9,0.778,2,3,0.667,3,3,1,1,4,5,5,1,0,2,2,23,MVC,7.97,10.286
indiana-state,Seth Tuttle,19,Northern Iowa,,REG,1,32,3,8,0.375,3,7,0.429,0,1,0,10,12,0.833,1,8,9,2,1,0,5,2,16,MVC,-0.48,-2.252
indiana-state,Seth Tuttle,23,Northern Iowa,@,REG,1,34,4,10,0.4,3,8,0.375,1,2,0.5,6,6,1,1,7,8,5,1,1,2,3,15,MVC,-0.48,2.811
iowa,Seth Tuttle,11,Northern Iowa,,REG,1,28,3,4,0.75,3,4,0.75,0,0,NA,3,4,0.75,0,8,8,4,1,2,3,5,9,Big Ten,15.86,2.362
louisville,Seth Tuttle,35,Northern Iowa,N,NCAA,1,34,4,7,0.571,4,7,0.571,0,0,NA,6,6,1,1,6,7,1,1,1,3,3,14,ACC,18.14,0.911
loyola-il,Seth Tuttle,32,Northern Iowa,N,CTOURN,1,29,5,7,0.714,4,6,0.667,1,1,1,2,4,0.5,2,4,6,3,1,1,2,3,13,MVC,2.45,3.491
loyola-il,Seth Tuttle,14,Northern Iowa,,REG,1,28,4,5,0.8,4,5,0.8,0,0,NA,1,4,0.25,1,3,4,4,4,0,3,1,9,MVC,2.45,4.692
loyola-il,Seth Tuttle,27,Northern Iowa,@,REG,1,31,4,7,0.571,4,7,0.571,0,0,NA,2,4,0.5,1,6,7,5,3,1,5,3,10,MVC,2.45,0.619
missouri-state,Seth Tuttle,18,Northern Iowa,,REG,1,26,9,16,0.563,9,14,0.643,0,2,0,4,5,0.8,4,6,10,3,1,0,2,1,22,MVC,-4.92,4.714
missouri-state,Seth Tuttle,26,Northern Iowa,@,REG,1,27,10,12,0.833,8,10,0.8,2,2,1,0,0,NA,0,4,4,3,1,0,1,3,22,MVC,-4.92,10.128
morgan-state,Seth Tuttle,3,Northern Iowa,,REG,1,25,3,6,0.5,3,6,0.5,0,0,NA,6,9,0.667,4,3,7,3,0,1,4,2,12,MEAC,-16.17,-2.115
north-dakota,Seth Tuttle,1,Northern Iowa,,REG,1,28,9,13,0.692,8,12,0.667,1,1,1,5,7,0.714,3,6,9,2,1,1,5,4,24,Big Sky,-12.19,4.077
north-florida,Seth Tuttle,4,Northern Iowa,,REG,1,23,7,7,1,6,6,1,1,1,1,4,4,1,1,4,5,2,0,1,4,3,19,A-Sun,-0.79,5.107
northwestern,Seth Tuttle,6,Northern Iowa,N,REG,1,27,7,11,0.636,7,10,0.7,0,1,0,5,6,0.833,0,3,3,1,1,0,4,2,19,Big Ten,6.15,0.528
richmond,Seth Tuttle,7,Northern Iowa,,REG,1,29,6,11,0.545,6,11,0.545,0,0,NA,5,8,0.625,2,8,10,1,1,0,4,4,17,A-10,8.68,-1.044
south-dakota-state,Seth Tuttle,12,Northern Iowa,,REG,1,30,2,5,0.4,1,3,0.333,1,2,0.5,6,6,1,1,1,2,9,1,0,0,3,11,Summit,3.32,6.92
southern-illinois,Seth Tuttle,15,Northern Iowa,,REG,1,26,9,12,0.75,7,9,0.778,2,3,0.667,4,6,0.667,3,5,8,1,0,1,3,3,24,MVC,-3.47,5.999
southern-illinois,Seth Tuttle,21,Northern Iowa,@,REG,1,36,4,7,0.571,4,6,0.667,0,1,0,5,7,0.714,0,10,10,2,3,0,2,1,13,MVC,-3.47,4.654
stephen-f-austin,Seth Tuttle,2,Northern Iowa,@,REG,1,39,4,5,0.8,3,4,0.75,1,1,1,4,6,0.667,3,5,8,3,0,1,3,1,13,Southland,8.63,0.531
virginia-commonwealth,Seth Tuttle,10,Northern Iowa,@,REG,1,21,2,4,0.5,1,3,0.333,1,1,1,0,0,NA,1,5,6,3,1,0,5,2,5,A-10,12.82,-4.056
virginia-tech,Seth Tuttle,5,Northern Iowa,N,REG,1,25,3,7,0.429,3,6,0.5,0,1,0,5,6,0.833,0,5,5,3,0,1,2,3,11,ACC,1.29,-0.565
wichita-state,Seth Tuttle,30,Northern Iowa,@,REG,1,35,6,8,0.75,6,7,0.857,0,1,0,4,7,0.571,1,6,7,6,0,0,2,3,16,MVC,15.57,3.19
wichita-state,Seth Tuttle,22,Northern Iowa,,REG,1,30,9,13,0.692,8,11,0.727,1,2,0.5,10,13,0.769,0,7,7,1,1,1,1,2,29,MVC,15.57,11.405
