"par","ego","crnt"
"Pete Carril","Craig Robinson",1
NA,"Craig Ruby",0
NA,"Cullen Thomas",0
"Gene Keady","Cuonzo Martin",1
NA,"Curly Movold",0
NA,"Curtis Hunter",0
"A.B. Williamson","Cy Alexander",1
NA,"Cy McClairen",0
NA,"D. Schaffner",0
NA,"D.C. Huddleson",0
NA,"D.W. Draper",0
NA,"Daddy Boles",0
NA,"Dale Bandy",0
"Ladell Andersen","Dale Brown",0
NA,"Dale Hall",0
"Max Good","Dale Layer",1
NA,"Dale Morey",0
NA,"Dale Morrison",0
NA,"Dale Waters",0
NA,"Dan Bazzani",0
NA,"Dan Bell",0
NA,"Dan Belluomini",0
NA,"Dan Cunha",0
"Bob Knight","Dan Dakich",0
NA,"Dan Dougherty",0
"Adrian Buoncristiani","Dan Fitzgerald",0
NA,"Dan Glines",0
NA,"Dan Hayes",0
"Don Donoher","Dan Hipsher",1
"P.J. Carlesimo","Dan Hurley",1
NA,"Dan Jones",0
"Kelvin Sampson","Dan Kenney",0
"John Chaney","Dan Leibovitz",0
"Dick Parfitt","Dan Majerle",1
"Gene Bartow","Dan Monson",1
"Kevin Stallings","Dan Muller",1
NA,"Dan Peters",0
NA,"Dan Raskin",0
NA,"Dan Savage",0
NA,"Dan Spika",0
NA,"Dan Steinberg",0
"Lon Kruger","Dana Altman",1
NA,"Dana Bible",0
NA,"Dana Evans",0
"Denny Crum","Dana Kirk",0
"Bob Knight","Dane Fife",0
NA,"Daniel Hains",0
NA,"Daniel Lynch",0
NA,"Daniel Meehan",0
NA,"Daniel Yarbo",0
NA,"Danny Doyle",0
"Bill Blakeley","Danny Kaspar",1
"Larry Brown","Danny Manning",1
NA,"Danny Miller",0
NA,"Danny Monk",0
NA,"Danny Nee",0
NA,"Danny Roberts",0
NA,"Darelle Porter",0
NA,"Darrell Fox",0
"Jerome Francis","Darrell Hawkins",0
"Tates Locke","Darrell Hedric",0
NA,"Darrell Johnson",0
"Tom Crean","Darrin Horn",0
NA,"Dave Armstrong",0
NA,"Dave Balza",0
NA,"Dave Benaderet",0
NA,"Dave Bezold",1
"Bill O'Connor","Dave Bike",0
"Bob Knight","Dave Bliss",0
NA,"Dave Bollwinkel",0
NA,"Dave Buss",0
"Wayne Szoke","Dave Calloway",0
"Gary Williams","Dave Dickerson",0
"Jack Kraft","Dave Duke",0
"Pete Carril","Dave Faucher",0
NA,"Dave Fehte",0
"Joe Mullaney","Dave Gavitt",0
NA,"Dave Grube",0
NA,"Dave Leach",0
"Jim Calhoun","Dave Leitao",0
"Moe Iba","Dave Loos",1
"Pat Kennedy","Dave Magarity",0
NA,"Dave McMillan",0
"Terry Holland","Dave Odom",0
NA,"Dave Patton",0
"Jeff Reynolds","Dave Pilopovich",1
NA,"Dave Possinger",0
NA,"Dave Pritchett",0
"Jerry Tarkanian","Dave Rice",1
"Steve Cleveland","Dave Rose",1
"Ray Eddy","Dave Schellhase",0
"Tommy Joe Eagles","Dave Simmons",1
NA,"Dave Smalley",0
"Ernie McCoy","Dave Strack",0
NA,"Dave Wike",0
"Mark Amatucci","Dave Wojcik",1
NA,"Davey Whitney",0
NA,"David Boots",0
"Trent Johnson","David Carter",1
NA,"David Connelly",0
NA,"David Coogan",0
NA,"David Dunlap",0
NA,"David Farrar",0
NA,"David Glascock",0
NA,"David Hall",0
"Mike Krzyzewski","David Henderson",0
"J.D. Barnett","David Hobbs",0
NA,"David Holmes",0
NA,"David MacMillan",0
NA,"David McDowell",0
"Steve Fisher","David Paulsen",1
NA,"David Polansky",0
NA,"David Reese",0
NA,"David Satterfield",0
NA,"David Spencer",0
NA,"Dean Cromwell",0
NA,"Dean Demopoukos",0
NA,"Dean Ehlers",0
NA,"Dean Keener",0
"Phog Allen","Dean Smith",0
NA,"Dean Walker",0
"Steve Aggers","Dedrique Taylor",1
NA,"Dee Errikson",0
NA,"Dee Nutt",0
NA,"Dee Rowe",0
NA,"Delbert Young",0
NA,"Dell Morgan",0
NA,"Delle Bovi",0
"Rick Pitino","Delray Brooks",0
NA,"Denis Willens",0
"Rick Barnes","Dennis Felton",0
NA,"Dennis Grady",0
NA,"Dennis Harp",0
NA,"Dennis Nutt",0
NA,"Dennis Walling",0
NA,"Dennis Wolff",0
"John Wooden","Denny Crum",0
NA,"Denny Huston",0
NA,"Dereck Whittenburg",0
NA,"Derek Allister",0
"John Calipari","Derek Kellogg",1
NA,"Derek Thomas",0
NA,"Derek Thompson",0
NA,"Derek Waugh",0
"Kevin Lehman","Derrin Hansen",1
NA,"Dick Acres",0
NA,"Dick Anderson",0
NA,"Dick Baker",0
NA,"Dick Bennett",0
NA,"Dick Berg",0
NA,"Dick Campbell",0
NA,"Dick Conover",0
NA,"Dick Danford",0
NA,"Dick Davey",0
NA,"Dick Davis",0
NA,"Dick DiBiaso",0
NA,"Dick Edwards",0
NA,"Dick Fichtner",0
NA,"Dick Fick",0
NA,"Dick Garibaldi",0
"Phog Allen","Dick Harp",0
"Jack McCloskey","Dick Harter",0
NA,"Dick Hitt",0
"Rick Majerus","Dick Hunsaker",1
"Digger Phelps","Dick Kuchen",0
NA,"Dick Lien",0
NA,"Dick Longo",0
NA,"Dick McDonald",0
NA,"Dick McDonough",0
NA,"Dick Moles",0
NA,"Dick Motta",0
NA,"Dick Parfitt",0
NA,"Dick Romney",0
NA,"Dick Schultz",0
NA,"Dick Shilts",0
NA,"Dick Stewart",0
"Lou Goetz","Dick Tarrant",0
"Chuck Daly","Dick Versace",0
"Richard Lloyd","Dick Vitale",0
NA,"Dick Walters",0
"Jim Killingsworth","Dickey Nutt",1
"Dick Harter","Digger Phelps",0
"Pete Gillen","Dino Gaudio",0
NA,"Dixon Foster",0
NA,"Dizzy McLeod",0
NA,"Dobbie Lambert",0
NA,"Doc Carlson",0
NA,"Doc Fletcher",0
NA,"Doc Freeman",0
NA,"Doc Hayes",0
NA,"Doc Hoskins",0
NA,"Doc Jacobs",0
NA,"Doc Meanwell",0
NA,"Doc Naismith",0
"Eddie Sutton","Doc Sadler",0
NA,"Doc Stewart",0
NA,"Doc Stroud",0
NA,"Doggie Julian",0
NA,"Dolly Stark",0
NA,"Dolph Stanley",0
"Hugh Greer","Dom Perno",0
NA,"Dom Rosselli",0
NA,"Don Beasley",0
NA,"Don Boven",0
NA,"Don Casey",0
NA,"Don Corbett",0
"Bob Knight","Don DeVoe",0
"Tom Blackburn","Don Donoher",0
NA,"Don Doucette",0
NA,"Don Drumm",0
NA,"Don Eddy",0
NA,"Don Friday",0
NA,"Don Harnum",0
"Hank Iba","Don Haskins",0
"Blaine Taylor","Don Holst",0
NA,"Don Kennedy",0
NA,"Don Knodel",0
NA,"Don Maestri",0
NA,"Don Martin",0
"Jud Heathcote","Don Monson",0
NA,"Don Newman",0
NA,"Don Ridley",0
NA,"Don Ruberg",0
NA,"Don Shields",0
NA,"Don Sicko",0
NA,"Don Smith",0
NA,"Don Suman",0
"Stew Morrill","Don Verlin",1
NA,"Don Williams",0
NA,"Don Wilson",0
NA,"Donald Feeley",0
NA,"Donald Kellett",0
NA,"Donald Pryor",0
NA,"Donald Starn",0
NA,"Donald Ulrich",0
NA,"Donald Warnke",0
"Piggy Lambert","Donald White",0
"Billy Donovan","Donnie Jones",1
NA,"Donnie Marsh",0
"Kyle Macy","Donnie Tyndall",1
"Rick Majerus","Donny Daniels",0
NA,"Donovan Moffett",0
NA,"Doug Davalos",0
NA,"Doug Durham",0
NA,"Doug Noll",0
NA,"Doug Oliver",0
"Tom Izzo","Doug Wojcik",1
NA,"Douglas Mills",0
NA,"Doyle Leathers",0
"Hank Iba","Doyle Parrack",0
NA,"Duane Reboul",0
NA,"Duce Belford",0
NA,"Duck Dowell",0
NA,"Duddy Waller",0
NA,"Dudey Moore",0
NA,"Dudy Noble",0
"Bob McKillop","Duggar Baucom",1
NA,"Dukes Duford",0
NA,"Dusty DeStefano",0
