"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Keyon Dooling","MIA",2005,1184,-0.011,0.002,0.003,-0.008,0.008,0.001,-0.019,-0.015,-1.78,-0.36,-0.008,-0.005,0.009,-0.035,-2.14
"Keyon Dooling","MIL",2011,1757,-0.001,0.011,-0.004,-0.007,0.008,0,-0.027,-0.024,-0.87,0.02,0.01,-0.01,0.008,-0.051,-0.85
"Keyon Dooling","NJN",2009,2074,-0.008,0.009,0.007,-0.015,0.009,0.002,-0.022,-0.017,-0.74,0.09,0,-0.008,0.011,-0.039,-0.65
"Keyon Dooling","NJN",2010,971,-0.003,0.006,0,-0.01,0.009,0.001,-0.019,-0.016,-0.6,-0.1,0.003,-0.011,0.01,-0.035,-0.69
"Keyon Dooling","ORL",2006,1137,-0.009,0.005,0.004,-0.013,0.006,0.002,-0.015,-0.016,-1.4,-0.29,-0.004,-0.009,0.008,-0.031,-1.69
"Keyon Dooling","ORL",2007,1435,-0.013,0.013,0.004,-0.01,0.006,0.001,-0.015,-0.013,-2.09,1,-0.001,-0.005,0.007,-0.028,-1.09
"Keyon Dooling","ORL",2008,1334,-0.013,0.005,0.013,-0.015,0.009,0,-0.019,-0.013,-1.36,-0.32,-0.008,-0.002,0.009,-0.032,-1.68
"Khalid El-Amin","CHI",2001,936,-0.012,-0.003,0.004,-0.01,0.011,0.004,-0.016,-0.014,-0.9,-0.53,-0.015,-0.006,0.015,-0.031,-1.43
"Khris Middleton","DET",2013,475,-0.002,-0.005,0.004,-0.005,0.007,0.001,-0.016,-0.006,-0.05,-0.79,-0.006,-0.001,0.008,-0.023,-0.85
"Khris Middleton","MIL",2014,2460,0.005,-0.003,0,-0.001,0.006,0.004,-0.013,-0.004,1.53,0,0.002,-0.001,0.01,-0.017,1.53
"Khris Middleton","MIL",2015,2058,0.002,0.009,-0.001,-0.001,0.005,0.007,-0.01,-0.003,1.43,1.6,0.011,-0.002,0.011,-0.012,3.02
