"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Andrei Kirilenko","BRK",2015,36,-0.066,-0.003,-0.001,0.002,-0.004,-0.002,0.002,0.002,-11.03,-0.55,-0.069,0.001,-0.007,0.004,-11.59
"Andrei Kirilenko","MIN",2013,2034,0.006,0.003,0.005,0.006,-0.004,0.005,-0.001,-0.005,0.55,1.07,0.009,0.011,0,-0.006,1.61
"Andrei Kirilenko","UTA",2002,2151,-0.004,0.017,0.014,0.01,-0.003,0.007,0.013,-0.01,0.44,3.23,0.013,0.024,0.005,0.003,3.67
"Andrei Kirilenko","UTA",2003,2213,0.002,0.019,0.015,0.009,-0.003,0.008,0.013,-0.008,1.39,3.55,0.021,0.024,0.004,0.005,4.94
"Andrei Kirilenko","UTA",2004,2895,0.007,0.016,0.011,0.018,-0.006,0.006,0.02,0,2.08,3.76,0.023,0.029,0,0.02,5.84
"Andrei Kirilenko","UTA",2005,1349,0.01,0.026,0.016,0.022,-0.004,0.004,0.01,-0.005,2.4,4.82,0.035,0.038,0,0.005,7.22
"Andrei Kirilenko","UTA",2006,2604,0.007,0.02,0.016,0.014,-0.003,0,0.007,-0.004,1.88,3.18,0.027,0.029,-0.003,0.003,5.06
"Andrei Kirilenko","UTA",2007,2049,-0.001,0.017,0.006,0.01,-0.008,0,-0.006,-0.007,-1.18,2.37,0.016,0.015,-0.008,-0.013,1.2
"Andrei Kirilenko","UTA",2008,2217,0.007,0.01,0.006,0.006,-0.004,0.002,0.004,-0.007,1.2,1.58,0.017,0.012,-0.002,-0.003,2.78
"Andrei Kirilenko","UTA",2009,1831,-0.002,0.007,0.011,0.012,-0.006,0.004,-0.002,0,-0.58,1.96,0.005,0.022,-0.002,-0.002,1.38
"Andrei Kirilenko","UTA",2010,1681,0.002,0.009,0.008,0.006,0,0.006,-0.002,-0.008,0.75,1.81,0.011,0.014,0.006,-0.011,2.56
"Andrei Kirilenko","UTA",2011,1999,0.001,0.007,0.008,0.006,-0.003,0.002,0,-0.005,0.31,1.24,0.008,0.014,-0.001,-0.005,1.55
"Andres Nocioni","CHI",2005,1892,-0.01,0,0.003,-0.002,-0.005,-0.004,-0.009,0.006,-2.45,-0.23,-0.009,0.001,-0.01,-0.002,-2.67
"Andres Nocioni","CHI",2006,2239,0.002,0,0.001,0.005,-0.003,-0.006,-0.004,0.015,-0.11,0.21,0.002,0.006,-0.008,0.011,0.1
"Andres Nocioni","CHI",2007,1406,0.007,-0.001,0,0.004,-0.007,-0.005,-0.011,0.015,-0.36,0.21,0.006,0.004,-0.011,0.004,-0.15
"Andres Nocioni","CHI",2008,2021,0.002,0.002,0.005,-0.002,0,-0.007,-0.015,0.006,-0.21,-0.32,0.004,0.003,-0.007,-0.009,-0.53
"Andres Nocioni","CHI, SAC",2009,1991,0.002,0.001,-0.001,0.001,-0.002,-0.004,-0.012,0.012,-0.57,0.29,0.003,0,-0.007,0,-0.29
"Andres Nocioni","PHI",2011,931,-0.005,0.003,-0.004,-0.001,-0.003,-0.006,-0.018,0.007,-2.31,-0.04,-0.003,-0.005,-0.009,-0.011,-2.34
"Andres Nocioni","PHI",2012,56,-0.027,0.005,0.005,0.002,-0.013,-0.006,-0.023,0.01,-6.82,0.58,-0.022,0.007,-0.019,-0.013,-6.24
"Andres Nocioni","SAC",2010,1477,-0.005,0.002,-0.007,-0.001,0.002,-0.003,-0.015,0.002,-1.61,-0.1,-0.003,-0.009,-0.001,-0.013,-1.71
"Andrew Bogut","GSW",2013,786,-0.003,0.008,-0.023,0.021,-0.013,-0.005,0.018,0.022,-2.41,2.44,0.005,-0.002,-0.018,0.041,0.03
"Andrew Bogut","GSW",2014,1769,0.011,0.006,-0.026,0.019,-0.018,-0.006,0.028,0.032,-0.65,2.57,0.016,-0.007,-0.024,0.06,1.93
"Andrew Bogut","GSW",2015,1357,0.007,0.007,-0.026,0.019,-0.02,-0.005,0.018,0.027,-1.93,2.47,0.013,-0.006,-0.025,0.045,0.54
"Andrew Bogut","MIL",2006,2348,0.005,-0.005,-0.011,0.006,-0.009,-0.005,0.019,0.015,0.12,-0.26,0,-0.005,-0.013,0.034,-0.14
"Andrew Bogut","MIL",2007,2258,0.012,-0.012,-0.015,0.011,-0.014,-0.005,0.016,0.023,0.14,-0.62,0,-0.004,-0.018,0.038,-0.48
"Andrew Bogut","MIL",2008,2720,0.01,-0.002,-0.012,0.017,-0.013,-0.006,0.023,0.022,0.31,0.83,0.007,0.005,-0.019,0.045,1.13
"Andrew Bogut","MIL",2009,1124,0.012,-0.005,-0.018,0.013,-0.018,-0.006,0.032,0.032,0.14,0.82,0.007,-0.005,-0.024,0.064,0.96
